TAN-F	2118550	0.00029471071342351	0.00029312610276276	0.0204861898419945
RAN-B	2179329	0.000296530945947476	0.000279941116873256	0.212721598480034
FAR-F	2313996	0.000290020400087985	0.000277817255600867	0.1842178333802
SJA-F	2202796	0.000294975653382136	0.000282203165604138	0.183672759505205
SON-F	2324798	0.000299982666967703	0.000295344821716139	0.0628935152246262
TYB-F	2272515	0.000339003286652936	0.000343399183465582	-0.0512763347496077
POL-BF	2249681	0.000307306601873422	0.000291261175366235	0.211943407122699
ROS-B	2370948	0.000344688438641252	0.000329118570415768	0.192023911505025
KET-B	2188843	0.000290078282451949	0.000274195301833961	0.231969735304298
NAK-B	2360588	0.000359941971341632	0.00036515179257698	-0.0588030318712038
KAR-B	2019528	0.000364722630816965	0.000342984841309449	0.238610911926283
ISH-B	2242373	0.000369529167465954	0.000348125693152104	0.234730828936059
