TAN-F	1733829	0.000296956369284342	0.000263503565516858	0.480910833238816
RAN-B	1784327	0.000291768903951119	0.000247860652600974	0.635590432423144
FAR-F	1882727	0.000286398870832253	0.000244818696793442	0.712025342315936
SJA-F	1797548	0.000290045630870806	0.00024922300422309	0.664460882656648
SON-F	1904794	0.000300995285872109	0.000256802074719277	0.688983599525336
TYB-F	1862365	0.000337822207364954	0.000298758993319189	0.523563128874541
POL-BF	1844655	0.000306519720194057	0.000254994452027048	0.777074340503545
ROS-B	1933281	0.000335956688837254	0.000288586874498817	0.666046890661522
KET-B	1790073	0.000290499064506819	0.000237463213790874	0.893999963087142
NAK-B	1926823	0.000364672499036809	0.000323603385976141	0.522914283499828
KAR-B	1659420	0.000352065800730429	0.00030106245818858	0.63756184553856
ISH-B	1840594	0.000361627592086419	0.000310293888706285	0.631408581123315
SouthEast-B	1720382	0.000360161343168659	0.000303376668253455	0.640190660909021
