TAN-F	2110475	0.000338178094841468	0.000293195124467122	0.581410343893957
RAN-B	2172425	0.000336881866675746	0.000281681514105217	0.70343090607104
FAR-F	2302475	0.000324459454930385	0.000277077159896685	0.717185129465273
SJA-F	2191696	0.000329014564010579	0.000281129135037101	0.691233298569925
SON-F	2319008	0.000348848040130413	0.000295131982484872	0.728963022159975
TYB-F	2267893	0.000392717614036194	0.000342971768320157	0.58098643277534
POL-BF	2243608	0.000352419985070843	0.000291592027051565	0.80256113470623
ROS-B	2359076	0.000388342337145748	0.000328979383044004	0.732432533157657
KET-B	2179393	0.000340287891378542	0.00027382727932637	0.971950756085535
NAK-B	2349503	0.000416830203557082	0.000364529841709918	0.591316348721441
KAR-B	2012507	0.0004078178024765	0.000342928806887106	0.712385920949876
ISH-B	2236589	0.000413453171341899	0.000348165233376379	0.715926659555654
SouthEast-B	2085195	0.000413437328449976	0.000340366287527667	0.734558385224611
