TAN-F	2110475	0.000338177387507209	0.00029318982555716	0.581480187840928
RAN-B	2172425	0.000336881861752867	0.000281681514942246	0.703430830583427
FAR-F	2302475	0.000324459454545879	0.000277077160761026	0.71718510832746
SJA-F	2191696	0.000329014564259291	0.000281129134252989	0.69123331540483
SON-F	2319008	0.000348848102438251	0.000295132675022216	0.728952760645514
TYB-F	2267893	0.000392717614006592	0.000342971769854616	0.580986411911369
POL-BF	2243608	0.000352419330953707	0.000291585111353857	0.802662766562062
ROS-B	2359076	0.000388343715124617	0.000328986362885011	0.73234789115628
KET-B	2179393	0.000340287891928866	0.000273827279128822	0.971950767723178
NAK-B	2349503	0.000416830208080849	0.000364529842059685	0.5913163953464
KAR-B	2012507	0.000407817841401497	0.000342928806360597	0.71238635516214
ISH-B	2236589	0.000413453171138629	0.000348165233038496	0.715926661725937
SouthEast-B	2085195	0.000413437391468143	0.000340366287292347	0.734559021597764
